		sensor 1
		sensor 2
		sensor 1
		sensor 2
 17347;100012.64;102207.33
 17371;100012.48;102207.81
 17394;100013.03;102207.00
 17416;100012.70;102206.52
 17440;100011.97;102208.02
 17463;100012.31;102207.91
 17486;100012.47;102209.12
 17510;100012.70;102209.45
 17533;100012.50;102208.77
 17556;100012.64;102208.73
 17579;100012.58;102209.12
 17603;100012.80;102210.12
 17626;100013.08;102209.61
 17648;100012.41;102211.38
 17672;100012.84;102211.14
 17695;100012.88;102210.41
 17718;100012.75;102210.30
 17741;100012.44;102211.17
 17765;100012.89;102210.53
 17787;100012.42;102212.31
 17810;100012.44;102211.05
 17834;100012.66;102212.47
 17857;100012.77;102211.95
 17880;100012.86;102212.75
 17904;100012.91;102212.61
 17926;100012.89;102212.05
 17949;100012.53;102212.53
 17973;100012.67;102212.33
 17996;100012.14;102213.16
 18019;100012.95;102213.72
 18042;100012.36;102213.94
 18066;100012.73;102213.44
 18089;100012.20;102213.81
 18111;100012.77;102214.39
 18135;100012.97;102214.36
 18158;100012.94;102213.64
 18181;100012.69;102215.09
 18204;100012.88;102215.02
 18228;100012.70;102214.59
 18251;100012.62;102214.31
 18274;100012.52;102213.97
 18298;100012.70;102215.08
 18320;100012.84;102215.91
 18343;100012.91;102215.27
 18366;100012.58;102215.81
 18390;100013.08;102215.48
 18413;100012.41;102216.45
 18436;100012.91;102215.47
 18460;100013.03;102216.67
 18482;100012.47;102216.52
 18505;100012.89;102217.19
 18529;100012.64;102217.33
 18552;100013.16;102216.52
 18575;100012.31;102217.91
 18598;100013.08;102216.92
 18622;100012.58;102216.20
 18645;100013.25;102217.31
 18667;100013.22;102217.20
 18691;100012.55;102217.23
 18714;100012.41;102218.41
 18737;100012.67;102217.97
 18760;100012.95;102217.89
 18784;100012.39;102218.41
 18807;100012.58;102219.27
 18830;100012.75;102217.64
 18853;100012.50;102218.06
 18876;100012.80;102218.00
 18900;100013.03;102218.94
 18922;100013.09;102218.16
 18946;100013.03;102218.20
 18968;100012.72;102218.61
 18992;100013.23;102218.53
 19016;100012.80;102218.58
 19038;100012.92;102219.91
 19061;100012.14;102218.38
 19084;100012.97;102219.03
 19108;100012.95;102219.53
 19131;100013.17;102219.05
 19154;100012.75;102217.89
 19178;100012.77;102219.59
 19201;100012.67;102218.98
 19223;100012.41;102219.92
 19246;100013.05;102219.95
 19270;100013.08;102219.66
 19293;100012.91;102220.30
 19316;100013.14;102219.91
 19340;100012.89;102220.73
 19363;100012.98;102219.75
 19386;100013.27;102220.38
 19408;100012.77;102220.48
 19432;100012.77;102220.28
 19455;100012.94;102220.36
 19478;100012.30;102220.06
 19502;100013.19;102220.73
 19525;100013.14;102220.78
 19548;100013.08;102220.12
 19571;100012.91;102220.80
 19595;100012.61;102220.89
 19617;100013.00;102221.25
 19640;100013.08;102220.31
 19663;100012.98;102220.70
 19687;100013.38;102220.09
 19710;100013.22;102220.98
 19733;100012.73;102220.64
 19757;100013.00;102220.75
 19780;100013.12;102221.27
 19802;100013.11;102220.19
 19825;100013.11;102221.08
 19849;100012.78;102221.14
 19873;100012.89;102221.73
 19896;100012.58;102221.06
 19918;100012.69;102221.83
 19941;100013.27;102221.88
 19965;100012.75;102221.91
 19988;100013.84;102221.28
 20011;100013.09;102220.92
 20035;100013.06;102221.31
 20058;100013.12;102221.95
 20080;100012.88;102222.20
 20103;100013.12;102222.73
 20127;100013.06;102222.58
 20150;100013.11;102221.34
 20173;100013.02;102221.45
 20197;100013.23;102221.77
 20220;100013.06;102221.05
 20242;100013.23;102221.66
 20266;100013.20;102221.80
 20289;100013.33;102222.11
 20312;100013.19;102222.28
 20335;100013.36;102221.91
 20359;100012.69;102221.67
 20382;100012.52;102222.62
 20405;100012.97;102221.80
 20428;100012.78;102221.98
 20451;100013.25;102221.69
 20474;100012.86;102222.31
 20498;100012.62;102221.14
 20521;100013.73;102221.53
 20544;100012.80;102221.50
 20568;100012.95;102221.88
 20591;100013.00;102220.86
 20613;100013.03;102221.44
 20636;100013.27;102222.25
 20660;100013.00;102221.05
 20683;100013.41;102222.33
 20706;100012.75;102220.78
 20730;100013.73;102222.06
 20753;100012.91;102221.59
 20775;100012.52;102221.30
 20798;100012.69;102222.34
 20822;100013.00;102220.58
 20845;100012.36;102221.69
 20868;100013.19;102221.41
 20891;100013.02;102221.81
 20915;100012.75;102222.14
 20938;100012.78;102221.33
 20960;100013.42;102221.70
 20984;100012.91;102221.11
 21007;100013.08;102221.81
 21030;100013.33;102221.27
 21053;100013.16;102221.44
 21077;100012.84;102221.78
 21100;100012.66;102220.81
 21123;100012.95;102221.03
 21147;100013.03;102221.36
 21169;100012.78;102221.03
 21192;100013.20;102221.09
 21215;100013.53;102220.41
 21239;100012.73;102220.69
 21262;100013.30;102221.42
 21285;100012.73;102220.92
 21309;100013.09;102220.44
 21331;100013.25;102219.78
 21354;100012.95;102220.56
 21378;100013.30;102221.48
 21401;100013.69;102220.02
 21424;100013.20;102220.16
 21448;100013.28;102220.09
 21471;100013.16;102220.25
 21493;100013.39;102219.83
 21516;100013.34;102219.75
 21540;100013.56;102219.88
 21563;100013.53;102219.39
 21586;100013.05;102219.89
 21610;100013.31;102219.86
 21633;100013.38;102220.16
 21655;100012.92;102219.67
 21679;100013.33;102219.75
 21702;100013.31;102220.33
 21725;100013.30;102220.47
 21748;100013.34;102219.30
 21772;100013.06;102220.48
 21795;100013.72;102219.78
 21818;100013.53;102219.66
 21841;100013.25;102218.88
 21865;100013.27;102219.03
 21887;100013.62;102219.80
 21910;100013.80;102218.45
 21933;100013.58;102218.58
 21957;100013.55;102218.61
 21980;100013.27;102219.31
 22003;100013.81;102219.19
 22026;100013.59;102219.27
 22049;100013.50;102218.58
 22072;100013.83;102217.98
 22096;100013.73;102218.56
 22119;100013.41;102219.42
 22142;100013.64;102218.98
 22165;100013.95;102218.23
 22189;100013.61;102218.78
 22212;100013.50;102218.89
 22235;100013.59;102218.39
 22257;100013.41;102218.88
 22281;100013.28;102218.33
 22304;100013.06;102217.69
 22327;100013.52;102217.86
 22350;100013.47;102216.88
 22374;100013.81;102218.03
 22397;100013.14;102218.05
 22420;100013.88;102217.72
 22444;100013.64;102216.38
 22466;100013.41;102216.70
 22489;100013.52;102216.77
 22513;100013.59;102217.19
 22536;100013.95;102217.38
 22559;100013.39;102216.61
 22582;100013.42;102216.97
 22606;100013.25;102217.12
 22629;100013.69;102216.06
 22651;100013.58;102217.08
 22674;100013.83;102216.14
 22698;100013.22;102216.66
 22721;100013.41;102215.34
 22744;100013.48;102215.98
 22768;100013.80;102215.34
 22791;100013.91;102215.48
 22814;100013.48;102215.56
 22836;100013.64;102215.61
 22861;100013.42;102216.12
 22883;100013.55;102215.77
 22906;100013.45;102215.95
 22930;100013.56;102215.41
 22953;100013.84;102214.78
 22976;100013.41;102215.06
