		sensor 1
		sensor 2
		sensor 1
		sensor 2
Connecting to server... 
Connected to server at 192.168.100.10:5000
  5415;97693.31;107513.41
  5424;97692.83;107513.38
  5433;97693.17;107513.28
  5440;97693.12;107512.81
  5449;97693.00;107513.48
  5458;97693.00;107513.53
  5466;97693.22;107513.50
  5475;97693.48;107513.03
  5483;97693.50;107513.92
  5491;97693.11;107513.33
  5501;97693.53;107513.22
  5508;97693.08;107513.42
  5516;97692.77;107513.58
  5525;97693.53;107513.12
  5534;97693.11;107512.94
  5542;97693.30;107513.28
  5550;97693.55;107513.23
  5558;97693.34;107513.30
  5568;97693.06;107513.75
  5576;97693.27;107513.47
  5583;97693.61;107513.09
  5592;97692.75;107513.19
  5600;97693.20;107513.39
  5610;97693.52;107513.12
  5617;97693.58;107513.33
  5626;97693.03;107513.47
  5634;97693.17;107513.67
  5643;97693.36;107512.78
  5652;97693.08;107513.38
  5661;97693.06;107513.28
  5669;97693.17;107513.16
  5677;97693.17;107513.45
  5686;97693.48;107513.22
  5694;97693.20;107513.69
  5703;97693.12;107513.62
  5711;97693.41;107513.66
  5719;97692.47;107513.14
  5728;97693.41;107513.30
  5736;97693.05;107513.19
  5744;97692.88;107513.22
  5753;97693.14;107513.36
  5760;97693.48;107513.16
  5769;97693.03;107513.48
  5778;97693.45;107512.94
  5786;97692.94;107513.36
  5795;97692.42;107513.45
  5803;97693.45;107513.19
  5811;97693.33;107513.30
  5821;97693.44;107513.12
  5828;97693.00;107513.25
  5837;97693.50;107513.69
  5845;97693.05;107513.31
  5854;97693.47;107513.38
  5862;97693.12;107513.14
  5871;97693.08;107513.33
  5879;97692.98;107513.47
  5887;97692.77;107513.39
  5896;97693.66;107513.38
  5904;97693.34;107513.27
  5912;97692.58;107513.09
  5921;97693.20;107513.09
  5929;97693.28;107513.45
  5938;97692.89;107513.11
  5946;97693.25;107513.08
  5955;97692.81;107513.20
  5963;97692.58;107513.66
  5971;97693.38;107513.12
  5980;97693.16;107513.22
  5989;97693.66;107512.92
  5997;97693.34;107513.28
  6006;97693.23;107513.42
  6014;97693.20;107513.39
  6023;97693.17;107513.03
  6030;97692.97;107513.33
  6039;97692.56;107513.14
  6047;97693.12;107513.52
  6056;97693.03;107513.27
  6065;97692.97;107513.33
  6072;97693.16;107513.05
  6082;97693.23;107513.33
  6090;97693.23;107513.23
  6098;97693.06;107513.53
  6107;97692.88;107513.30
  6115;97693.58;107512.86
  6124;97693.03;107513.58
  6132;97692.83;107512.86
  6140;97692.39;107513.05
  6148;97693.23;107513.48
  6157;97692.97;107513.23
  6165;97693.16;107512.84
  6174;97693.27;107513.12
  6182;97692.59;107512.92
  6191;97692.97;107513.30
  6200;97693.42;107513.38
  6208;97693.38;107513.28
  6216;97692.98;107513.14
  6224;97692.83;107513.22
  6233;97693.17;107513.25
  6241;97693.06;107512.94
  6250;97692.92;107513.14
  6258;97692.66;107512.89
  6267;97692.75;107513.14
  6275;97693.00;107513.44
  6284;97692.91;107513.14
  6291;97693.20;107513.41
  6300;97693.19;107512.86
  6308;97692.72;107513.27
  6317;97693.20;107513.39
  6325;97693.02;107512.91
  6334;97692.89;107513.27
  6342;97693.09;107512.95
  6351;97693.00;107512.95
  6359;97692.84;107513.25
  6367;97692.28;107513.47
  6376;97693.58;107513.53
  6384;97692.50;107513.00
  6393;97692.72;107512.97
  6402;97692.30;107513.27
  6410;97693.41;107512.86
  6418;97692.62;107513.09
  6427;97693.02;107513.42
  6435;97693.11;107512.94
  6444;97693.05;107513.12
  6452;97693.09;107513.58
  6461;97692.84;107512.94
  6469;97692.62;107513.12
  6478;97692.62;107513.27
  6486;97693.17;107513.17
  6494;97693.09;107512.86
  6503;97693.52;107512.72
  6511;97692.91;107513.06
  6520;97693.45;107513.05
  6528;97693.12;107513.05
  6537;97693.19;107513.12
  6546;97692.81;107512.70
  6553;97693.00;107512.83
  6563;97693.58;107513.16
  6571;97692.77;107513.30
  6579;97693.08;107513.08
  6587;97692.69;107513.30
  6595;97692.78;107513.14
  6603;97692.98;107512.72
  6612;97692.92;107513.08
  6620;97693.02;107513.05
  6629;97692.86;107513.02
  6637;97692.45;107512.94
  6645;97692.92;107513.03
  6654;97692.80;107512.98
  6662;97692.31;107512.98
  6671;97692.55;107513.20
  6680;97692.81;107513.16
  6688;97693.34;107512.89
  6696;97692.80;107512.94
  6705;97692.84;107512.88
  6713;97692.97;107512.80
  6722;97693.34;107512.97
  6730;97692.70;107512.95
  6739;97692.66;107513.14
  6748;97693.14;107512.62
  6755;97692.66;107512.97
  6764;97692.62;107513.14
  6772;97692.47;107513.33
  6781;97692.92;107512.59
  6789;97692.62;107512.92
  6798;97692.45;107513.08
  6806;97692.77;107512.73
  6815;97692.84;107513.20
  6823;97693.34;107512.83
  6831;97692.88;107513.12
  6839;97692.77;107513.12
  6848;97693.06;107513.14
  6856;97692.62;107512.88
  6865;97692.31;107513.14
  6874;97692.67;107513.02
  6882;97692.88;107513.05
  6891;97692.56;107512.86
  6899;97692.00;107513.08
  6907;97692.55;107512.80
  6916;97693.06;107512.86
  6924;97692.70;107512.84
  6933;97692.47;107512.89
  6940;97692.86;107512.81
  6949;97693.30;107513.02
  6957;97692.47;107512.61
  6966;97692.64;107512.83
